Device,Latitude,Longitude,Date & Time,Google Maps
"Android","40.8163558","-96.7529757","3/30/26 10:31:37 AM","https://www.google.com/maps?q=40.8163558,-96.7529757"
"Android","40.815693","-96.7511187","3/30/26 10:37:38 AM","https://www.google.com/maps?q=40.815693,-96.7511187"
"Android","40.8171565","-96.6549487","3/30/26 11:24:50 AM","https://www.google.com/maps?q=40.8171565,-96.6549487"
"Android","40.8162152","-96.7516615","3/30/26 2:45:49 PM","https://www.google.com/maps?q=40.8162152,-96.7516615"
"Android","40.8162181","-96.7517426","3/30/26 2:59:41 PM","https://www.google.com/maps?q=40.8162181,-96.7517426"
"Android","40.8180181","-96.6811473","3/30/26 4:35:54 PM","https://www.google.com/maps?q=40.8180181,-96.6811473"
"Android","40.8181007","-96.6811629","3/30/26 4:42:10 PM","https://www.google.com/maps?q=40.8181007,-96.6811629"
"Android","40.8181007","-96.6811629","3/30/26 4:42:10 PM","https://www.google.com/maps?q=40.8181007,-96.6811629"
"Windows","40.80307472294084","-96.61364960997496","3/31/26 12:26:02 PM","https://www.google.com/maps?q=40.80307472294084,-96.61364960997496"
"Windows","40.80319938740073","-96.6134809733094","3/31/26 1:18:44 PM","https://www.google.com/maps?q=40.80319938740073,-96.6134809733094"
"Android","40.815885","-96.7017833","3/31/26 2:37:01 PM","https://www.google.com/maps?q=40.815885,-96.7017833"
"Android","40.8103127","-96.7052364","4/1/26 5:58:19 PM","https://www.google.com/maps?q=40.8103127,-96.7052364"
"Android","40.8103127","-96.7052364","4/1/26 5:58:19 PM","https://www.google.com/maps?q=40.8103127,-96.7052364"
"Android","40.8568013","-96.6329227","4/3/26 6:53:33 AM","https://www.google.com/maps?q=40.8568013,-96.6329227"
"Android","40.8568013","-96.6329227","4/3/26 6:53:33 AM","https://www.google.com/maps?q=40.8568013,-96.6329227"
"Android","40.8568013","-96.6329227","4/3/26 6:53:33 AM","https://www.google.com/maps?q=40.8568013,-96.6329227"
"Android","40.8170531","-96.7006214","4/3/26 7:44:47 AM","https://www.google.com/maps?q=40.8170531,-96.7006214"
"Android","40.8170531","-96.7006214","4/3/26 7:44:47 AM","https://www.google.com/maps?q=40.8170531,-96.7006214"
"Android","40.8170531","-96.7006214","4/3/26 7:44:47 AM","https://www.google.com/maps?q=40.8170531,-96.7006214"
"Android","40.803554","-96.7032293","4/3/26 11:31:10 AM","https://www.google.com/maps?q=40.803554,-96.7032293"
"Android","40.810383","-96.7050317","4/3/26 11:46:19 AM","https://www.google.com/maps?q=40.810383,-96.7050317"
"Android","40.8103542","-96.7050246","4/3/26 11:51:14 AM","https://www.google.com/maps?q=40.8103542,-96.7050246"
"Android","40.7979948","-96.6999096","4/4/26 7:45:48 AM","https://www.google.com/maps?q=40.7979948,-96.6999096"
"Android","40.7979609","-96.7000155","4/4/26 7:46:30 AM","https://www.google.com/maps?q=40.7979609,-96.7000155"
"Android","40.797946","-96.7000343","4/4/26 7:47:04 AM","https://www.google.com/maps?q=40.797946,-96.7000343"
"Android","40.7979584","-96.7001471","4/4/26 7:50:21 AM","https://www.google.com/maps?q=40.7979584,-96.7001471"
"iPhone","40.80311799185446","-96.61468866617","4/4/26 12:22:03 PM","https://www.google.com/maps?q=40.80311799185446,-96.61468866617"
"iPhone","40.80307621668757","-96.61484553893928","4/4/26 12:22:14 PM","https://www.google.com/maps?q=40.80307621668757,-96.61484553893928"
"Android","40.8138364","-96.6876595","4/6/26 1:04:50 PM","https://www.google.com/maps?q=40.8138364,-96.6876595"
